Timestamp,Location,City,Country,Parameter,Value,Last Updated,Unit,Source Name
07/22/2019 19:56:06,Adarsh Nagar Jaipur - RSPCB,Jaipur,IN,co,1190,2019-07-22T13:30:00.000Z,µg/m³,caaqm,
07/22/2019 19:56:06,Adarsh Nagar Jaipur - RSPCB,Jaipur,IN,no2,29.86,2019-07-22T13:30:00.000Z,µg/m³,caaqm,
07/22/2019 19:56:06,Adarsh Nagar Jaipur - RSPCB,Jaipur,IN,o3,43.38,2019-07-22T13:30:00.000Z,µg/m³,caaqm,
07/22/2019 19:56:06,Adarsh Nagar Jaipur - RSPCB,Jaipur,IN,pm25,25.6,2019-07-22T13:30:00.000Z,µg/m³,caaqm,
07/22/2019 19:56:06,Adarsh Nagar Jaipur - RSPCB,Jaipur,IN,pm10,33.5,2019-07-22T13:30:00.000Z,µg/m³,caaqm,
07/22/2019 19:56:06,Adarsh Nagar Jaipur - RSPCB,Jaipur,IN,so2,8.9,2019-07-22T13:30:00.000Z,µg/m³,caaqm,
07/22/2019 19:56:06,Adarsh Nagar Jaipur- RSPCB,Jaipur,IN,so2,11.82,2018-02-22T02:45:00.000Z,µg/m³,CPCB,
07/22/2019 19:56:06,Adarsh Nagar Jaipur- RSPCB,Jaipur,IN,o3,3.95,2018-02-22T02:45:00.000Z,µg/m³,CPCB,
07/22/2019 19:56:06,Adarsh Nagar Jaipur- RSPCB,Jaipur,IN,pm25,71.92,2018-02-22T02:45:00.000Z,µg/m³,CPCB,
07/22/2019 19:56:06,Adarsh Nagar Jaipur- RSPCB,Jaipur,IN,pm10,201.71,2018-02-22T02:45:00.000Z,µg/m³,CPCB,
07/22/2019 19:56:06,Adarsh Nagar Jaipur- RSPCB,Jaipur,IN,co,2360,2018-02-22T02:45:00.000Z,µg/m³,CPCB,
07/22/2019 19:56:06,Adarsh Nagar Jaipur- RSPCB,Jaipur,IN,no2,88.49,2018-02-22T02:45:00.000Z,µg/m³,CPCB,
07/22/2019 19:56:06,Police Commissionerate,Jaipur,IN,so2,5.79,2017-10-24T06:45:00.000Z,µg/m³,CPCB,
07/22/2019 19:56:06,Police Commissionerate,Jaipur,IN,pm10,102.4,2017-10-24T06:45:00.000Z,µg/m³,CPCB,
07/22/2019 19:56:06,Police Commissionerate,Jaipur,IN,no2,13.71,2017-10-24T06:45:00.000Z,µg/m³,CPCB,
07/22/2019 19:56:06,Police Commissionerate,Jaipur,IN,co,50,2017-10-24T06:45:00.000Z,µg/m³,CPCB,
07/22/2019 19:56:06,Police Commissionerate,Jaipur,IN,o3,80.47,2017-10-24T06:45:00.000Z,µg/m³,CPCB,
07/22/2019 19:56:06,Police Commissionerate,Jaipur,IN,pm25,100.9,2017-10-24T06:45:00.000Z,µg/m³,CPCB,
07/22/2019 19:56:06,Police Commissionerate Jaipur - RSPCB,Jaipur,IN,no2,23.82,2019-07-22T13:30:00.000Z,µg/m³,caaqm,
07/22/2019 19:56:06,Police Commissionerate Jaipur - RSPCB,Jaipur,IN,pm25,37.82,2019-07-22T13:30:00.000Z,µg/m³,caaqm,
07/22/2019 19:56:06,Police Commissionerate Jaipur - RSPCB,Jaipur,IN,pm10,91.45,2019-07-22T13:30:00.000Z,µg/m³,caaqm,
07/22/2019 19:56:06,Police Commissionerate Jaipur - RSPCB,Jaipur,IN,o3,41.07,2019-07-22T13:30:00.000Z,µg/m³,caaqm,
07/22/2019 19:56:06,Police Commissionerate Jaipur - RSPCB,Jaipur,IN,co,790,2019-07-22T13:30:00.000Z,µg/m³,caaqm,
07/22/2019 19:56:06,Police Commissionerate Jaipur - RSPCB,Jaipur,IN,so2,3.24,2019-07-22T13:30:00.000Z,µg/m³,caaqm,
07/22/2019 19:56:06,Police Commissionerate Jaipur- RSPCB,Jaipur,IN,co,1780,2018-02-22T02:45:00.000Z,µg/m³,CPCB,
07/22/2019 19:56:06,Police Commissionerate Jaipur- RSPCB,Jaipur,IN,pm25,206,2018-02-22T02:45:00.000Z,µg/m³,CPCB,
